,ex_energy
422,7.2645373
423,5.8443923
424,7.573941
425,7.151943
426,6.404418
427,7.2894335
428,6.0259805
429,6.1683393
430,6.5931125
431,6.6205134
432,5.9344254
433,6.7536507
434,5.930989
435,5.8570614
436,6.1836295
437,6.2944303
438,6.2098246
439,6.9533105
440,6.3155537
441,6.8092155
442,6.65128
443,6.5781665
444,7.362363
445,6.0569463
446,6.2188725
447,6.0279994
448,6.2727094
449,6.0152555
450,6.5532904
451,6.863812
452,7.4694557
453,7.0230565
454,6.678108
455,6.3660264
456,6.3081117
457,5.9361877
458,7.2811275
459,6.3524
460,6.9199696
461,6.857645
462,6.667225
463,7.7908664
464,7.6136537
465,6.3530593
466,7.52185
467,5.894959
468,7.265641
469,5.9548907
470,7.2804966
471,5.849691
472,7.3793306
473,6.4334717
474,6.66055
475,7.4323077
476,6.8193274
477,7.5142803
478,7.7187777
479,6.5299716
480,6.002483
481,7.0895405
482,6.618031
483,7.115261
484,7.3351707
485,6.8332973
486,6.5414996
487,7.005539
488,6.644679
489,6.8115473
490,6.852669
491,6.080401
492,7.469662
493,7.281325
494,6.425009
495,6.784229
496,6.9388494
497,7.5340123
498,6.654386
499,6.7604685
500,7.3649635
501,6.797342
502,7.71498
503,6.3372874
504,7.0163865
505,7.1909037
506,6.810811
507,7.5671883
508,6.8200617
509,6.255313
510,6.4645343
511,6.600732
512,7.3650856
513,6.7665167
514,6.284082
515,6.417381
516,5.908158
517,6.5790772
518,6.849477
519,5.922296
520,6.341097
521,6.325348
522,7.270655
523,7.2057652
524,6.260972
525,7.3533216
526,7.2145476
527,6.359464
528,7.49007
529,6.770028
530,5.9973392
531,6.588197
532,6.8315487
533,5.8912807
534,6.708595
535,6.392892
536,7.59695
537,6.5821834
538,6.005818
539,6.7494235
540,5.9582157
541,6.6364822
542,6.83374
543,6.5510545
544,6.668302
545,6.830148
546,6.2363687
547,7.4361544
548,5.9121556
549,6.6651397
550,6.574202
551,6.3875833
552,6.6157765
553,6.725726
554,7.3478074
555,6.7813606
556,7.428615
557,6.861052
558,6.51074
559,6.2966657
560,6.3633757
561,6.738979
562,5.884308
563,6.59474
564,6.4046383
565,7.0601687
566,7.042238
567,6.657447
568,5.8884187
569,6.343528
570,6.885166
571,7.5734673
572,6.3597956
573,5.9037666
574,6.604746
575,7.2593646
576,5.8891068
577,6.5176167
578,6.0058002
579,7.383968
580,6.627874
581,5.994331
582,6.6883874
583,6.708741
584,6.908512
585,6.6304073
586,6.6640534
587,7.6744647
588,6.408618
589,5.883629
590,7.0380783
591,5.9143577
592,6.3494763
593,6.124728
594,6.7575364
595,6.3416643
596,5.9934297
597,7.4364376
598,7.52438
599,7.411597
600,7.3584347
601,6.6471977
602,5.9989805
603,7.3079796
604,6.4178
605,6.017207
606,5.9102035
607,6.3223486
608,5.8481
609,6.6418834
610,7.174772
611,6.7302165
612,7.4876285
613,6.283231
614,6.207383
615,7.442819
616,6.7356462
617,8.000556
618,5.8155975
619,7.1156964
620,6.0080047
621,6.9149036
622,6.740641
623,5.870408
624,5.856005
625,6.373404
626,7.674657
627,6.655113
628,6.3349614
629,7.3613434
630,6.43634
631,6.533471
632,7.613138
633,6.5438204
634,7.1552978
635,6.44779
636,6.380571
637,5.935555
638,6.6559896
639,6.3098893
640,7.1710033
641,7.5662885
642,6.3168893
643,6.7461276
644,6.5788608
645,6.797069
646,6.5984225
647,7.4241176
648,6.8784127
649,5.981811
650,6.636615
651,5.9053035
652,6.01003
653,7.443567
654,5.8389225
655,6.894659
656,5.99225
657,6.6294317
658,6.6468153
659,6.8842893
660,5.8583136
661,6.3949285
662,7.1517825
663,6.829909
664,7.4493093
665,6.789887
666,6.2881403
667,6.8213573
668,6.656568
669,6.86136
670,6.890428
671,7.6619644
672,6.539324
673,5.912876
674,6.2755113
675,6.985641
676,7.204735
677,7.246164
678,6.115473
679,6.6069303
680,6.178071
681,6.719592
682,7.4473915
683,5.946297
684,6.9268575
685,6.24949
686,5.9189277
687,6.288556
688,6.6432004
689,6.5897093
690,6.8883433
691,6.2580957
692,6.237107
693,6.2660027
694,6.3014193
695,7.7185407
696,5.8573837
697,5.84735
698,6.502549
699,7.3466177
700,6.7889543
701,7.357381
702,6.2412167
703,7.102569
704,7.548907
705,7.491515
706,7.65612
707,6.2550235
708,6.3818536
709,5.842461
710,6.1853356
711,5.9221463
712,5.964964
713,5.862498
714,6.7627535
715,6.64726
716,6.8719764
717,7.484192
718,6.745774
719,5.8721166
720,6.5712376
721,7.503654
722,6.5229526
723,5.9134693
724,6.583906
725,6.6525116
726,7.453192
727,6.4617853
728,5.929936
729,7.6351676
730,7.2271276
731,6.471671
732,7.167229
733,6.6051683
734,6.4868
735,7.225112
736,6.23803
737,6.330303
738,6.668216
739,6.664494
740,5.9152017
741,6.429463
742,6.3801856
743,7.283659
744,6.6252728
745,6.8227944
746,6.3687453
747,7.2205663
748,6.88449
749,6.645746
750,6.8885136
751,6.614279
752,6.701611
753,6.746793
754,5.9334235
755,6.6945744
756,5.888365
757,7.0700626
758,5.709463
759,6.620412
760,5.922468
761,5.916411
762,5.8183126
