Row,ic_E,ic_dE
259,1021.1520,456.97198
260,466.24316,524.87872
261,940.59820,431.89624
262,425.81256,528.08612
263,405.37319,554.58599
264,938.16833,440.01580
265,438.41613,506.70312
266,513.31750,512.43890
267,897.41626,450.89108
268,525.53851,521.26397
269,1010.0772,489.67712
270,527.45874,497.97540
271,427.04568,534.58288
272,879.53936,437.70220
273,894.23913,455.00814
274,947.34631,439.59805
275,1034.8081,495.88192
276,1042.1796,473.46420
277,1059.8796,485.07708
278,456.46279,518.82946
279,969.19079,466.32501
280,927.19653,448.45117
281,925.05523,453.78842
282,314.07818,451.79632
283,476.93603,525.02996
284,917.50885,460.47979
285,418.35263,527.91540
286,1046.4342,482.17324
287,895.93371,445.93692
288,372.00982,554.67425
289,1043.4149,497.32055
290,882.14080,447.89163
291,1071.3084,459.18307
292,442.84954,509.32232
293,1005.479,480.22427
294,1038.2548,491.14175
295,402.65438,513.34692
296,467.97070,523.33758
297,456.84878,522.46148
298,1031.7369,476.72207
299,457.16268,537.02276
300,413.62298,530.38830
301,446.77575,523.28991
302,440.13324,514.39514
303,894.89325,449.86837
304,441.29504,532.59466
305,438.84457,526.01025
306,475.39834,509.97537
307,439.14697,514.32446
308,380.09234,524.59259
309,445.94256,519.03692
310,903.66595,440.78884
311,468.22421,516.37933
312,1018.3092,483.46066
313,1000.2390,478.02993
314,561.08966,511.90484
315,912.67657,453.59109
316,875.58563,447.37252
317,436.62912,506.23584
318,208.82855,458.84997
319,473.25030,523.65362
320,507.58636,507.49762
321,434.18890,522.85394
322,865.84368,449.85876
323,802.53595,488.33023
324,1034.9088,464.59027
325,1067.9047,478.81582
326,495.58551,525.47607
327,436.27066,530.31951
328,1063.0902,490.37356
329,331.43362,548.77624
330,429.27148,515.20178
331,922.28674,470.15219
332,1010.1807,465.13717
333,840.84137,457.65231
334,934.03570,450.74926
335,420.18270,525.82812
336,478.96716,518.59497
337,396.11279,528.87194
338,1013.1769,477.22274
339,879.67553,451.59198
340,485.99383,496.35290
341,864.41113,495.89395
342,404.53582,527.77856
343,1081.2193,477.60510
344,924.02154,429.85949
345,1047.2810,453.25665
346,452.61236,506.04977
347,934.30023,448.17736
348,388.38122,435.26132
349,389.93573,527.41479
350,1049.6214,482.73938
351,923.75555,451.20068
352,911.99005,441.57617
353,870.35650,451.51763
354,813.59875,391.04751
355,1001.8596,489.84173
356,1052.8508,463.02407
357,440.90628,542.47662
358,929.63549,457.84756
359,937.56036,449.64898
360,1011.9175,480.59692
361,939.71221,433.07870
362,1030.6635,477.02667
363,915.70208,460.43450
364,404.23739,540.75579
365,402.76553,538.84680
366,700.53912,473.87445
367,1033.2445,466.98288
368,922.77325,455.72235
369,941.52960,432.24581
370,927.49029,436.85055
371,962.97753,441.80563
372,953.55889,440.31308
373,1052.8316,470.49154
374,473.57702,504.60559
375,1014.7025,490.70297
376,430.01480,524.84924
377,1030.3447,456.55151
378,468.44320,528.87097
379,441.21517,540.06414
380,1031.7083,476.71145
381,783.36816,380.80264
382,1039.1435,473.83798
383,918.58709,449.57833
384,682.42230,454.08715
385,918.28662,438.10464
386,898.10583,466.54556
387,880.46948,445.96322
388,1041.6195,467.04361
389,469.32873,517.23321
390,436.26290,525.77508
391,885.79736,463.93414
392,488.92102,538.79333
393,1040.8581,480.57925
394,787.58075,432.09402
395,411.40988,529.82409
396,1024.5206,464.99905
397,842.84625,399.83673
398,922.92596,453.57162
399,914.83764,457.02618
400,450.05447,514.79473
401,432.17752,541.80438
402,1045.1605,466.41027
403,899.66125,444.95239
404,916.93347,453.89984
405,455.39294,519.09442
406,889.77093,458.51110
407,882.96472,465.28927
408,1038.0618,479.01928
409,1006.5603,484.76205
410,995.05468,506.62091
411,949.66851,449.80477
412,1031.7567,482.85397
413,400.26852,542.21600
414,1041.6842,480.84677
415,588.09729,451.01632
416,871.22070,447.50302
417,520.00146,496.23211
418,324.99209,553.50830
419,1039.8828,469.49887
420,420.60211,524.14965
421,454.76278,502.64584
422,500.25366,524.20086
423,407.02728,545.63354
424,1022.6867,479.34445
425,1037.3883,474.19097
426,420.66787,539.92260
427,874.93634,470.50210
428,1030.0736,457.14245
429,1041.9305,473.72503
430,379.23519,549.91674
431,928.82806,445.25109
432,477.92184,529.88836
433,888.17187,464.15194
434,940.87457,433.13870
435,1028.9322,471.00689
436,890.96783,456.18713
437,923.58624,442.74124
438,1020.9421,471.07885
439,909.88403,449.11389
440,1000.1568,484.3367
441,482.98013,518.09161
442,447.08371,518.83252
443,908.54962,463.02774
444,856.1427,421.21466
445,874.54528,441.22302
446,1019.2542,477.95986
447,938.67083,474.40371
448,420.82293,524.28955
449,1038.9112,469.34066
450,911.53894,445.41879
451,470.39398,526.61914
452,426.05410,510.71261
453,1040.7185,478.24826
454,441.60495,525.47094
455,875.89703,455.67239
456,413.44802,536.19928
457,939.18011,417.96911
458,477.56106,509.80096
459,419.75271,525.05749
460,396.99966,531.27447
461,493.74475,514.55065
462,1056.7268,481.38687
463,880.54913,464.67086
464,847.22467,449.33032
465,1028.5622,471.82592
466,765.95184,452.76178
467,1023.1582,456.85778
468,906.61511,425.57354
469,424.80102,531.87335
470,421.51821,531.52648
471,1027.0961,443.85391
472,423.16223,540.57873
473,876.3302,472.81591
474,408.53955,534.02179
475,1006.9201,512.14563
476,1064.8232,475.56875
477,390.65719,549.44036
478,1068.3304,488.84936
479,239.50071,475.32986
480,1031.1192,474.97323
481,404.66122,536.33441
482,1038.5053,475.48754
483,902.83953,459.84793
484,1005.4973,469.42227
485,862.08386,464.98165
486,398.31607,535.54657
487,451.66223,519.16497
488,1042.8458,474.83709
489,1036.4097,479.18875
490,891.49969,452.78515
491,892.73162,442.13104
492,473.25558,518.68164
493,942.08947,445.56225
494,1053.5688,470.50628
495,1062.1192,478.69335
496,1038.0343,467.12881
497,1004.7545,481.77389
498,467.89804,524.07946
499,1047.4577,487.95474
500,402.90444,545.17199
501,986.39514,460.15054
502,1042.0545,485.66311
503,925.92266,455.12524
504,910.23065,438.89190
505,876.87072,447.02682
506,424.97259,541.35626
